file	group	subject	sample
Sample_imb_soshnikova_2014_2_01_Id2_1_readcounts.tsv	Id2	1	Id2_1
Sample_imb_soshnikova_2014_2_02_Tomato_1_readcounts.tsv	Tomato	1	Tomato_1
Sample_imb_soshnikova_2014_2_03_Id2_2_readcounts.tsv	Id2	2	Id2_2
Sample_imb_soshnikova_2014_2_04_Tomato_2_readcounts.tsv	Tomato	2	Tomato_2
Sample_imb_soshnikova_2014_2_05_Id2_3_readcounts.tsv	Id2	3	Id2_3
Sample_imb_soshnikova_2014_2_06_Tomato_3_readcounts.tsv	Tomato	3	Tomato_3
#Sample_imb_soshnikova_2014_2_07_Id2_4_readcounts.tsv	Id2	4	Id2_4
#Sample_imb_soshnikova_2014_2_08_Tomato_4_readcounts.tsv	Tomato	4	Tomato_4
Sample_imb_soshnikova_2014_2_09_Lgr5_1_readcounts.tsv	Lgr5	1	Lgr5_1
Sample_imb_soshnikova_2014_2_10_EpCAM_1_readcounts.tsv	EpCAM	1	EpCAM_1
Sample_imb_soshnikova_2014_2_11_Lgr5_2_readcounts.tsv	Lgr5	2	Lgr5_2
Sample_imb_soshnikova_2014_2_12_EpCAM_2_readcounts.tsv	EpCAM	2	EpCAM_2
Sample_imb_soshnikova_2014_2_13_Lgr5_3_readcounts.tsv	Lgr5	3	Lgr5_3
Sample_imb_soshnikova_2014_2_14_EpCAM_3_readcounts.tsv	EpCAM	3	EpCAM_3
Sample_imb_soshnikova_2014_2_15_Lgr5_4_readcounts.tsv	Lgr5	4	Lgr5_4
Sample_imb_soshnikova_2014_2_16_EpCAM_4_readcounts.tsv	EpCAM	4	EpCAM_4
#Sample_imb_soshnikova_2014_2_17_ISCs_1_readcounts.tsv	ISCs	1	ISCs_1
#Sample_imb_soshnikova_2014_2_18_ISCs_2_readcounts.tsv	ISCs	2	ISCs_2
#Sample_imb_soshnikova_2014_2_19_ISCs_3_readcounts.tsv	ISCs	3	ISCs_3
#Sample_imb_soshnikova_2014_2_20_ISCs_4_readcounts.tsv	ISCs	4	ISCs_4
